Date,Average_HDD
2019-10-23,8.531901840490798
2019-10-24,7.237014314928426
2019-10-25,7.359304703476482
2019-10-26,6.005930470347647
2019-10-27,9.111656441717793
2019-10-28,13.485889570552148
2019-10-29,14.848466257668713
2019-10-30,16.666257668711655
2019-10-31,17.630061349693257
2019-11-01,15.570331950207468
2019-11-02,8.591908713692947
2019-11-03,9.57780082987552
2019-11-04,10.444605809128632
2019-11-05,12.273029045643154
2019-11-06,13.332365145228215
2019-11-07,13.52883817427386
2019-11-08,14.818672199170125
2019-11-09,15.6649377593361
2019-11-10,17.942323651452284
2019-11-11,18.153319502074687
2019-11-12,16.058091286307054
2019-11-13,16.718672199170125
2019-11-14,16.692323651452284
2019-11-15,15.629460580912863
2019-11-16,16.05103734439834
2019-11-17,16.523236514522818
2019-11-18,15.279460580912863
2019-11-19,16.114315352697098
2019-11-20,17.520331950207467
2019-11-21,16.032572614107885
2019-11-22,15.643775933609957
2019-11-23,14.568257261410789
2019-11-24,15.581120331950208
2019-11-25,16.150829875518674
2019-11-26,13.932572614107883
2019-11-27,12.62551867219917
2019-11-28,11.486929460580914
2019-11-29,15.179460580912863
2019-11-30,18.439004149377595
2019-12-01,19.747142857142858
2019-12-02,18.478367346938775
2019-12-03,17.739795918367346
2019-12-04,18.82530612244898
2019-12-05,20.44530612244898
2019-12-06,18.01102040816327
2019-12-07,13.249591836734693
2019-12-08,12.420612244897958
2019-12-09,14.250612244897958
2019-12-10,17.934081632653058
2019-12-11,18.542244897959186
2019-12-12,18.117346938775512
2019-12-13,18.445510204081636
2019-12-14,15.589183673469385
2019-12-15,13.625714285714286
2019-12-16,13.912857142857144
2019-12-17,11.839183673469387
2019-12-18,13.072040816326533
2019-12-19,14.564489795918366
2019-12-20,13.528163265306123
2019-12-21,14.720816326530612
2019-12-22,15.230204081632651
2019-12-23,14.203877551020408
2019-12-24,14.513877551020409
2019-12-25,14.759387755102042
2019-12-26,16.81591836734694
2019-12-27,17.503061224489795
2019-12-28,20.52326530612245
2019-12-29,21.26918367346939
2019-12-30,17.98795918367347
2019-12-31,17.726938775510206
2020-01-01,20.344421487603306
2020-01-02,20.514669421487604
2020-01-03,15.825
2020-01-04,16.27809917355372
2020-01-05,17.59710743801653
2020-01-06,18.12706611570248
2020-01-07,17.328925619834713
2020-01-08,15.066528925619835
2020-01-09,12.278719008264462
2020-01-10,13.06900826446281
2020-01-11,16.9400826446281
2020-01-12,17.699793388429754
2020-01-13,16.000826446280993
2020-01-14,13.919628099173554
2020-01-15,12.238636363636363
2020-01-16,14.013429752066116
2020-01-17,15.422727272727274
2020-01-18,16.552272727272726
2020-01-19,18.2646694214876
2020-01-20,18.757231404958677
2020-01-21,20.20578512396694
2020-01-22,20.10661157024793
2020-01-23,19.55888429752066
2020-01-24,20.399793388429753
2020-01-25,19.66797520661157
2020-01-26,18.58863636363636
2020-01-27,15.449793388429752
2020-01-28,15.972314049586778
2020-01-29,17.198760330578512
2020-01-30,14.682644628099174
2020-01-31,9.967355371900828
2020-02-01,10.029606625258797
2020-02-02,12.117391304347828
2020-02-03,12.351552795031056
2020-02-04,16.32857142857143
2020-02-05,18.050517598343685
2020-02-06,18.38840579710145
2020-02-07,17.918840579710142
2020-02-08,17.228157349896478
2020-02-09,12.712629399585923
2020-02-10,12.854451345755692
2020-02-11,16.46728778467909
2020-02-12,17.125051759834367
2020-02-13,17.22443064182195
2020-02-14,15.455693581780539
2020-02-15,14.366459627329192
2020-02-16,9.202070393374742
2020-02-17,12.118426501035199
2020-02-18,14.503726708074533
2020-02-19,15.91407867494824
2020-02-20,15.127329192546584
2020-02-21,15.327329192546584
2020-02-22,12.962939958592134
2020-02-23,11.798343685300209
2020-02-24,14.192753623188407
2020-02-25,13.353209109730848
2020-02-26,17.787991718426497
2020-02-27,18.220496894409937
2020-02-28,17.49855072463768
2020-02-29,13.559627329192548
2020-03-01,13.715909090909092
2020-03-02,14.71115702479339
2020-03-03,16.34462809917355
2020-03-04,17.18305785123967
2020-03-05,15.853099173553717
2020-03-06,15.440702479338842
2020-03-07,16.279338842975207
2020-03-08,14.439876033057852
2020-03-09,14.067355371900828
2020-03-10,13.827066115702477
2020-03-11,9.669834710743801
2020-03-12,10.673966942148759
2020-03-13,14.578305785123968
2020-03-14,16.30888429752066
2020-03-15,13.480578512396695
2020-03-16,11.519214876033057
2020-03-17,11.18099173553719
2020-03-18,10.552685950413224
2020-03-19,10.435537190082643
2020-03-20,12.099793388429752
2020-03-21,16.63119834710744
2020-03-22,18.537190082644628
2020-03-23,19.321487603305787
2020-03-24,18.51694214876033
2020-03-25,17.58388429752066
2020-03-26,16.434297520661158
2020-03-27,12.439049586776859
2020-03-28,12.334090909090909
2020-03-29,17.15785123966942
2020-03-30,19.178925619834708
2020-03-31,18.63119834710744
2020-04-01,17.38824742268041
2020-04-02,14.933608247422683
2020-04-03,14.280824742268043
2020-04-04,13.471752577319586
2020-04-05,10.504536082474226
2020-04-06,7.408453608247423
2020-04-07,7.1338144329896895
2020-04-08,6.120206185567011
2020-04-09,7.204123711340206
2020-04-10,8.81340206185567
2020-04-11,9.040824742268041
2020-04-12,5.858556701030928
2020-04-13,11.770721649484534
2020-04-14,15.885979381443299
2020-04-15,12.278350515463918
2020-04-16,8.130103092783505
2020-04-17,6.649896907216495
2020-04-18,6.169278350515463
2020-04-19,8.910721649484538
2020-04-20,9.59938144329897
2020-04-21,8.161237113402063
2020-04-22,7.104536082474227
2020-04-23,7.1455670103092785
2020-04-24,6.871134020618556
2020-04-25,9.645154639175257
2020-04-26,9.709484536082474
2020-04-27,6.825567010309277
2020-04-28,6.889278350515465
2020-04-29,8.561030927835052
2020-04-30,8.955463917525773
2020-05-01,10.251759834368531
2020-05-02,11.58592132505176
2020-05-03,10.339130434782609
2020-05-04,9.89585921325052
2020-05-05,11.972670807453419
2020-05-06,11.144927536231885
2020-05-07,8.869358178053831
2020-05-08,4.160869565217391
2020-05-09,2.6821946169772257
2020-05-10,2.349689440993789
2020-05-11,12.677432712215321
2020-05-12,14.13768115942029
2020-05-13,12.330848861283643
2020-05-14,11.712422360248448
2020-05-15,11.043892339544515
2020-05-16,9.359420289855072
2020-05-17,7.9167701863354045
2020-05-18,3.8507246376811595
2020-05-19,2.022774327122153
2020-05-20,3.4884057971014495
2020-05-21,2.388405797101449
2020-05-22,0.6486542443064183
2020-05-23,6.1571428571428575
2020-05-24,8.112836438923395
2020-05-25,7.258592132505177
2020-05-26,7.098757763975155
2020-05-27,3.8490683229813665
2020-05-28,5.727329192546584
2020-05-29,6.250724637681159
2020-05-30,5.921739130434783
2020-05-31,5.223809523809525
2020-06-01,1.1625
2020-06-02,0.4025
2020-06-03,0.38666666666666666
2020-06-04,4.535416666666666
2020-06-05,8.5375
2020-06-06,7.882500000000001
2020-06-07,7.337083333333333
2020-06-08,6.31125
2020-06-09,5.650208333333334
2020-06-10,4.585416666666666
2020-06-11,3.234375
2020-06-12,0.23708333333333337
2020-06-13,0.13041666666666665
2020-06-14,1.2012500000000002
2020-06-15,1.424166666666667
2020-06-16,0.8870833333333333
2020-06-17,0.8677083333333333
2020-06-18,1.065
2020-06-19,1.6285416666666668
2020-06-20,1.3227083333333334
2020-06-21,0.3277083333333334
2020-06-22,0.18500000000000003
2020-06-23,0.14437500000000003
2020-06-24,0.22416666666666668
2020-06-25,0.17104166666666665
2020-06-26,0.08541666666666667
2020-06-27,0.04145833333333333
